name,time,transit_duration,stellar_effective_temperature,stellar_magnitude_j,n_exposures_possible,snr_median,snr_maximum,average_exposure_time,time_begin,airmass_begin,az_begin,alt_begin,moon_sep_begin,moon_phase_begin,time_mid,airmass_mid,az_mid,alt_mid,moon_sep_mid,moon_phase_mid,time_end,airmass_end,az_end,alt_end,moon_sep_end,moon_phase_end,rank,n_transits
TOI-421 b,2020-12-11 07:52:12.687436,1.107 h,5325.0,8.547,4,98.01524562202214,127.85466780805567,860.0,2020-12-11 06:45:47.487436,1.1490606868480553,285.0590868372912,60.490734576569224,126.25797179653341,46.23180504515134,2020-12-11 07:19:00.087436,1.2506545328969256,279.15653165065845,53.09013976409679,126.49244748535038,45.89294535484902,2020-12-11 07:52:12.687436,1.4001717158280578,274.6240215979884,45.57752026105378,126.70953327198563,45.56988255283389,0.0,0
TOI-421 b,2020-12-06 03:08:57.855713,1.107 h,5325.0,8.547,4,97.98324966616426,127.84997753428188,860.0,2020-12-06 02:02:32.655713,1.4111715657446888,85.62037006317716,45.1236433416625,70.41878735001974,113.46475239091826,2020-12-06 02:35:45.255713,1.2581097448309786,81.14573522900115,52.64044983718156,70.69657934076777,113.16536087143247,2020-12-06 03:08:57.855713,1.1541123085869427,75.35334437151522,60.05061912916348,70.95988078655674,112.88199088369517,0.0,0
LTT 3780 b,2020-12-11 07:16:54.535217,0.805 h,3331.0,9.007,3,99.66139362270403,133.39224129996617,880.0,2020-12-11 06:28:36.535217,1.4621469638243856,83.05702739302563,43.15118414289197,57.01146177685227,46.413154617343615,2020-12-11 06:52:45.535217,1.3333002022104077,79.68025607926091,48.591992286517,57.239128561592096,46.159426351778876,2020-12-11 07:16:54.535217,1.2365559514729478,75.69041069308956,53.96889127192647,57.45785361419775,45.913834753909526,0.0,0
LTT 3780 b,2020-12-01 07:32:54.899439,0.805 h,3331.0,9.007,3,99.17509147353314,133.17822357529153,880.0,2020-12-01 06:44:36.899439,1.6292032295923262,85.92858848929075,37.86455764614186,82.95946164086332,170.4128350048796,2020-12-01 07:08:45.899439,1.4569894770629317,82.94625865189491,43.341614073804514,82.84560104278528,170.3038631882029,2020-12-01 07:32:54.899439,1.329446118329695,79.55204489767468,48.780696884521454,82.72658662528713,170.19099342444034,0.0,0
LTT 9779 b,2020-12-07 03:15:10.528684,0.686972 h,5443.0,8.446,3,97.73722955876518,128.28117441860778,790.0,2020-12-07 02:33:57.429484,1.3168853676108032,240.35568154184628,49.408473155988574,151.1939113107798,100.9302545237297,2020-12-07 02:54:33.979084,1.4064239014490925,240.71213912705392,45.31822545414748,151.27439003565993,100.73297017712957,2020-12-07 03:15:10.528684,1.5175345579345436,240.72164900147925,41.220877080392036,151.3505392805765,100.54158435598285,0.0,0
LTT 9779 b,2020-12-11 02:18:25.610919,0.686972 h,5443.0,8.446,3,97.83315722667639,127.56395524654772,780.0,2020-12-11 01:37:12.511719,1.1862223963074119,238.19521315770118,57.4595852182776,127.21945702428414,49.944767483767706,2020-12-11 01:57:49.061319,1.2450215501742874,239.56810859365888,53.43667447957812,127.0106843234508,49.6788353868891,2020-12-11 02:18:25.610919,1.317659405878105,240.3608225310198,49.36920821699442,126.80115291014236,49.413502425264944,0.0,0
WASP-35 b,2020-12-12 07:26:34.030974,3.0672 h,5990.0,9.887,3,97.02822657811339,125.64107144322473,3140.0,2020-12-12 04:22:32.110974,1.0540421283301291,359.3094967930093,71.57327598684327,143.3853242113354,34.2466849207181,2020-12-12 05:54:33.070974,1.1427030692681188,305.6917072305116,61.05894141878155,144.16973908687723,33.10163794633659,2020-12-12 07:26:34.030974,1.4952826691934802,284.62592887881294,41.97219382549425,144.83103045485618,32.04621393169569,0.0,0
GJ 3473 b,2020-12-14 08:14:47.725589,0.95 h,3347.0,9.627,2,99.37683175392222,133.20125844438311,1530.0,2020-12-14 07:17:47.725589,1.1320386453466125,356.5957762002827,62.0506260439661,133.79154258019778,4.605891089727729,2020-12-14 07:46:17.725589,1.1452500794228062,341.86195949543566,60.8293341469905,134.10938619446534,4.256356999581169,2020-12-14 08:14:47.725589,1.177784141054316,328.85009183959437,58.10871070262789,134.41584580309325,3.9156662646712372,0.0,0
K2-141 b,2020-12-05 02:27:31.480295,0.94 h,4599.0,9.086,2,99.28480842045508,132.738768389113,1140.0,2020-12-05 01:31:07.480295,1.3374699047064453,299.015369005278,48.38984235951275,135.5392043662256,125.73030228439328,2020-12-05 01:59:19.480295,1.4769114105684151,293.1860462543023,42.61655912256713,135.7890935931145,125.48652270753637,2020-12-05 02:27:31.480295,1.6769478962751339,288.3493818534634,36.60689266528085,136.0276361416554,125.25453042571833,0.0,0
TOI-540 b,2020-12-05 06:43:44.589987,0.470455 h,3216.0,9.755,0,99.53375087852463,133.44830360902577,1730.0,2020-12-05 06:15:30.951987,1.141450361587794,210.66563994144036,61.17286128528564,86.88308899195279,123.7800532338188,2020-12-05 06:29:37.770987,1.1611673294639213,213.96121424626511,59.45184870655124,86.91506455630994,123.70752187427584,2020-12-05 06:43:44.589987,1.1845223032076557,216.77177810002397,57.58869432965684,86.94521006941406,123.63637466420316,0.0,0
TOI-540 b,2020-12-10 05:41:18.069922,0.470455 h,3216.0,9.755,0,99.46877157743681,133.31016823946715,1720.0,2020-12-10 05:13:04.431922,1.101593568034943,197.42072844276663,65.19977288914292,109.29893264215227,60.7244537206233,2020-12-10 05:27:11.250922,1.111617263045725,202.3355476974283,64.10425350345844,109.33844720971521,60.575842779520244,2020-12-10 05:41:18.069922,1.1246643204450544,206.7169909053209,62.76715526466082,109.37590482033704,60.42985846240482,0.0,0
TOI-540 b,2020-12-15 04:38:52.781826,0.470455 h,3216.0,9.755,0,99.29674113703481,133.02870694453782,1710.0,2020-12-15 04:10:39.143826,1.0886594047791243,180.13273646071897,66.71659887402029,107.37518594203256,6.509975128878535,2020-12-15 04:24:45.962826,1.0900986378477033,186.09658816451466,66.54143181757341,107.33464549184131,6.69486205674566,2020-12-15 04:38:52.781826,1.0943105927113406,191.86188637973348,66.03832870358455,107.29249476389346,6.880307753643125,0.0,0
